Vegetation plot name,Date,Person measuring,Palm x coord,Palm y coord,Palm number,Frond length (cm),Time,% herbivory whole palm,% herbivory whole cut frond,Total number of caterpillars,0,1,2,3,Notes,Typed up by?,Date typed up?,Checked by?,Date checked?
D-W-50-BC,17/01/2020,"Agung, Jaka, Suyandra ",,,322,177,09:46,20,20,,4,8,6,2,,Rini,17/03/2020,,
D-W-50-BC,17/01/2020,"Agung, Jaka, Suyandra ",,,320,193,09:52,20,20,,5,7,7,1,,Rini,17/03/2020,,
D-W-50-OPE,17/01/2020,"Agung, Jaka, Suyandra ",,,335,197,10:03,10,5,,14,4,2,0,,Rini,17/03/2020,,
D-W-50-OPE,17/01/2020,"Agung, Jaka, Suyandra ",,,330,226,10:11,10,5,,11,9,0,0,,Rini,17/03/2020,,
D-W-50-OPE,17/01/2020,"Agung, Jaka, Suyandra ",,,327,242,10:?,5,5,,11,7,2,0,,Rini,17/03/2020,,
D-W-50-OPC,17/01/2020,"Agung, Jaka, Suyandra ",,,338,198,10:30,10,5,,13,7,0,0,,Rini,17/03/2020,,
D-W-50-OPC,17/01/2020,"Agung, Jaka, Suyandra ",,,339,174,10:38,10,5,,14,3,1,2,,Rini,17/03/2020,,
D-W-50-OPC,17/01/2020,"Agung, Jaka, Suyandra ",,,340,175,10:?,10,5,,9,11,0,0,,Rini,17/03/2020,,
B-W-50-BC,16/01/2020,"Agung, Jaka, Syamsul",,,37,505,09:05,40,30,,13,2,2,3,37 = Red label = Some frond damage oryctes.  ,Rini,17/03/2020,,
B-W-50-BC,16/01/2020,"Agung, Jaka, Syamsul",,,244,490,09:17,40,30,,5,5,2,8,244 +.,Rini,17/03/2020,,
B-W-50-BC,16/01/2020,"Agung, Jaka, Syamsul",,,243,570,09:29,40,20,,2,17,0,1,243 + .,Rini,17/03/2020,,
B-W-50-OPE,16/01/2020,"Agung, Jaka, Syamsul",,,245,215,09:36,10,5,,14,5,0,1,,Rini,17/03/2020,,
B-W-50-OPE,16/01/2020,"Agung, Jaka, Syamsul",,,247,145,09:43,5,5,,15,5,0,0,,Rini,17/03/2020,,
B-W-50-OPE,16/01/2020,"Agung, Jaka, Syamsul",,,252,221,09:52,5,10,,12,5,0,3,,Rini,17/03/2020,,
B-W-50-OPC,16/01/2020,"Agung, Jaka, Syamsul",,,252 A,172,12:38,10,5,,10,9,0,1,,Rini,17/03/2020,,
B-W-50-OPC,16/01/2020,"Agung, Jaka, Syamsul",,,259,250,12:45,25,10,,7,13,0,0,,Rini,17/03/2020,,
B-W-50-OPC,16/01/2020,"Agung, Jaka, Syamsul",,,255,128,12:49,10,5,,6,13,1,0,,Rini,17/03/2020,,
C-W-50-OPE,14/01/2020,"Agung, Jaka, Syamsul",,,289,243,11:38,10,5,,11,9,0,0,,Rini,17/03/2020,,
C-W-50-OPE,14/01/2020,"Agung, Jaka, Syamsul",,,291,181,11:45,10,5,,8,12,0,0,,Rini,17/03/2020,,
C-W-50-OPE,14/01/2020,"Agung, Jaka, Syamsul",,,294,240,11:50,10,5,,8,12,0,0,,Rini,17/03/2020,,
C-W-50-OPC,14/01/2020,"Agung, Jaka, Syamsul",,,298,207,11:11,20,5,,8,11,1,0,,Rini,17/03/2020,,
C-W-50-OPC,14/01/2020,"Agung, Jaka, Syamsul",,,301,205,11:18,20,5,,8,11,1,0,,Rini,17/03/2020,,
C-W-50-OPC,14/01/2020,"Agung, Jaka, Syamsul",,,296,221,11:26,20,5,,7,12,1,0,,Rini,17/03/2020,,
A-E-350-BC,15/01/2020,"Agung, Jaka, Syamsul",,,34,560,11:50,10,30,,5,9,0,6,"34 (red label ) = angkrang nost, damage oryctes. ",Rini,17/03/2020,,
A-E-350-BC,15/01/2020,"Agung, Jaka, Syamsul",,,36,345,12:01,40,30,,6,6,4,4,36 (red label ),Rini,17/03/2020,,
A-E-350-BC,15/01/2020,"Agung, Jaka, Syamsul",,,30,527,12:13,20,20,,11,7,1,1,,Rini,17/03/2020,,
A-E-350-OPE,14/01/2020,"Agung, Jaka, Syamsul",,,41,160,08:25,30,20,,10,8,1,1,,Rini,17/03/2020,,
A-E-350-OPE,14/01/2020,"Agung, Jaka, Syamsul",,,40,183,08:35,20,20,,4,14,1,1,,Rini,17/03/2020,,
A-E-350-OPE,14/01/2020,"Agung, Jaka, Syamsul",,,45,229,08:44,30,25,,5,11,3,1,,Rini,17/03/2020,,
A-E-350-OPC,14/01/2020,"Agung, Jaka, Syamsul",,,52,238,10:32,10,10,,8,11,1,0,052 = Some frond damage by oryctes.,Rini,17/03/2020,,
A-E-350-OPC,14/01/2020,"Agung, Jaka, Syamsul",X,,50,274,10:41,20,5,,3,17,0,0,,Rini,17/03/2020,,
A-E-350-OPC,14/01/2020,"Agung, Jaka, Syamsul",,Y,49,249,10:48,10,5,,9,11,0,0,,Rini,17/03/2020,,
C-E-350-OPC,13/01/2020,"Agung, Jaka, Syamsul",,,128,206,10:57,25,20,,4,14,2,0,,Rini,17/03/2020,,
C-E-350-OPC,13/01/2020,"Agung, Jaka, Syamsul",X,,132,193,11:08,10,5,,11,9,0,0,,Rini,17/03/2020,,
C-E-350-OPC,13/01/2020,"Agung, Jaka, Syamsul",,Y,130,239,11:14,20,10,,8,11,0,1,,Rini,17/03/2020,,
C-E-350-OPE,13/01/2020,"Agung, Jaka, Syamsul",,,123,174,10:35,30,5,,11,6,0,3,3 Leaf = damage by Oryctes = cat 3,Rini,17/03/2020,,
C-E-350-OPE,13/01/2020,"Agung, Jaka, Syamsul",X,,121,232,10:43,30,20,,4,10,0,6,,Rini,17/03/2020,,
C-E-350-OPE,13/01/2020,"Agung, Jaka, Syamsul",,Y,122,214,10:48,15,5,,12,8,0,0,,Rini,17/03/2020,,
A-E-150-OPE,06/01/2020,"Agung, Syamsul, Dani",X,,14,202,09:21,20,5,,19,1,0,0,,Rini,17/03/2020,,
A-E-150-OPE,06/01/2020,"Agung, Syamsul, Dani",,Y,18,160,09:29,20,5,,19,1,0,0,,Rini,17/03/2020,,
A-E-150-OPE,06/01/2020,"Agung, Syamsul, Dani",,,17,171,09:38,25,5,,18,1,1,0,,Rini,17/03/2020,,
A-E-150-OPC,06/01/2020,"Agung, Syamsul, Dani",,Y,25,139,08:35,30,5,,17,2,1,0,"Lengt = 1,39 cm",Rini,17/03/2020,,
A-E-150-OPC,06/01/2020,"Agung, Syamsul, Dani",,,26,100,08:52,45,15,,12,6,2,0,,Rini,17/03/2020,,
A-E-150-OPC,06/01/2020,"Agung, Syamsul, Dani",X,,22,194,09:00,40,15,,16,2,2,0,,Rini,17/03/2020,,
A-E-150-BC,15/01/2020,"Agung, Jaka, Syamsul",X,,2,492,09:24,20,10,,17,3,0,0,,Rini,17/03/2020,,
A-E-150-BC,15/01/2020,"Agung, Jaka, Syamsul",,Y,3,623,09:35,20,10,,16,3,0,1,,Rini,17/03/2020,,
A-E-150-BC,15/01/2020,"Agung, Jaka, Syamsul",,,6,551,09:43,30,20,,8,8,0,4,,Rini,17/03/2020,,
A-W-250-BC,15/01/2020,"Agung, Jaka, Syamsul",,,223,443,10:00,20,30,,8,4,1,7,223 = Damage by oryctes + angkrang nest. ,Rini,17/03/2020,,
A-W-250-BC,15/01/2020,"Agung, Jaka, Syamsul",,,220,540,10:10,20,10,,11,7,0,2,,Rini,17/03/2020,,
A-W-250-BC,15/01/2020,"Agung, Jaka, Syamsul",,,219,533,10:18,10,5,,18,2,0,0,219 = Angkrang nest.,Rini,17/03/2020,,
A-W-250-OPE,15/01/2020,"Agung, Jaka, Syamsul",,,103,293,11:27,10,20,,8,12,0,0,,Rini,17/03/2020,,
A-W-250-OPE,15/01/2020,"Agung, Jaka, Syamsul",,,228,300,11:36,20,20,,0,20,0,0,,Rini,17/03/2020,,
A-W-250-OPE,15/01/2020,"Agung, Jaka, Syamsul",,,227,221,11:40,15,5,,11,9,0,0,,Rini,17/03/2020,,
A-W-250-OPC,15/01/2020,"Agung, Jaka, Syamsul",,,237,191,08:01,30,40,,5,11,0,4,,Rini,17/03/2020,,
A-W-250-OPC,15/01/2020,"Agung, Jaka, Syamsul",,,233,207,08:33,30,30,,5,15,0,0,,Rini,17/03/2020,,
A-W-250-OPC,15/01/2020,"Agung, Jaka, Syamsul",,,234,212,08:41,40,10,,9,10,0,1,,Rini,17/03/2020,,
B-W-250-BC,16/01/2020,"Agung, Jaka, Syamsul",,,265,530,11:05,60,15,,5,13,1,1,265 = Damage by oryctes + angkrang nest. ,Rini,17/03/2020,,
B-W-250-BC,16/01/2020,"Agung, Jaka, Syamsul",,,261,550,11:10,20,15,,7,9,1,3,,Rini,17/03/2020,,
B-W-250-BC,16/01/2020,"Agung, Jaka, Syamsul",,,266,487,11:18,40,40,,5,9,3,3,266 = Frond cutting by oryctes.,Rini,17/03/2020,,
B-W-250-OPE,06/01/2020,"Agung, Syamsul, Dani",,Y,269,272,10:18,50,25,,9,10,0,1,,Rini,17/03/2020,,
B-W-250-OPE,06/01/2020,"Agung, Syamsul, Dani",,,276,265,10:29,30,20,,8,12,0,0,,Rini,17/03/2020,,
B-W-250-OPE,06/01/2020,"Agung, Syamsul, Dani",X,,273,246,10:38,30,20,,13,7,0,0,,Rini,17/03/2020,,
B-W-250-OPC,06/01/2020,"Agung, Syamsul, Dani",X,,282,126,10:48,10,10,,14,6,0,0,,Rini,17/03/2020,,
B-W-250-OPC,06/01/2020,"Agung, Syamsul, Dani",,Y,284,292,11:00,30,10,,17,3,0,0,,Rini,17/03/2020,,
B-W-250-OPC,06/01/2020,"Agung, Syamsul, Dani",,,278,168,11:10,15,10,,10,10,0,0,,Rini,17/03/2020,,
B-E-150-BC,16/01/2020,"Agung, Jaka, Syamsul",,,53,461,08:29,10,20,,9,3,1,7,53 & 56 Damage oryctes.,Rini,17/03/2020,,
B-E-150-BC,16/01/2020,"Agung, Jaka, Syamsul",,,56,518,08:39,10,30,,9,5,0,6,,Rini,17/03/2020,,
B-E-150-BC,16/01/2020,"Agung, Jaka, Syamsul",,,59,695,08:48,20,30,,2,14,2,2, 59 Polyrachis + Tapinoma > 30 + nest,Rini,17/03/2020,,
B-E-150-OPE,14/01/2020,"Agung, Jaka, Syamsul",,,71,237,08:57,15,5,,12,8,0,0,071 = Angkrang nest.,Rini,17/03/2020,,
B-E-150-OPE,14/01/2020,"Agung, Jaka, Syamsul",,,64,223,09:05,10,5,,14,6,0,0,,Rini,17/03/2020,,
B-E-150-OPE,14/01/2020,"Agung, Jaka, Syamsul",,,66,256,09:12,20,5,,9,11,0,0,,Rini,17/03/2020,,
B-E-150-OPC,14/01/2020,"Agung, Jaka, Syamsul",,,74,176,09:21,40,25,,2,16,2,0,,Rini,17/03/2020,,
B-E-150-OPC,14/01/2020,"Agung, Jaka, Syamsul",,,73,213,09:33,50,20,,7,8,4,1,073 = Some leaf damage by oryctes,Rini,17/03/2020,,
B-E-150-OPC,14/01/2020,"Agung, Jaka, Syamsul",,,79,243,09:50,40,30,,2,17,1,0,,Rini,17/03/2020,,
C-E-150-OPE,07/01/2020,"Agung, Syamsul, Dani",,,107,250,08:45,45,5,,14,6,0,0,,Rini,17/03/2020,,
C-E-150-OPE,07/01/2020,"Agung, Syamsul, Dani",X,,105,152,08:53,40,10,,13,7,0,0,,Rini,17/03/2020,,
C-E-150-OPE,07/01/2020,"Agung, Syamsul, Dani",,Y,102,209,09:00,20,10,,14,6,0,0,,Rini,17/03/2020,,
C-E-150-OPC,07/01/2020,"Agung, Syamsul, Dani",,,114,222,08:12,60,40,,12,8,0,0,,Rini,17/03/2020,,
C-E-150-OPC,07/01/2020,"Agung, Syamsul, Dani",,Y,115,255,08:23,30,20,,12,8,0,0,,Rini,17/03/2020,,
C-E-150-OPC,07/01/2020,"Agung, Syamsul, Dani",X,,110,198,08:32,40,10,,13,7,0,0,,Rini,17/03/2020,,
B-E-350-BC,16/01/2020,"Agung, Jaka, Syamsul",,,86,537,11:40,35,15,,7,11,0,2,086 = Damage oryctes + angkrang nest.,Rini,17/03/2020,,
B-E-350-BC,16/01/2020,"Agung, Jaka, Syamsul",,,81,520,11:48,30,10,,6,12,0,2,,Rini,17/03/2020,,
B-E-350-BC,16/01/2020,"Agung, Jaka, Syamsul",,,84,530,11:55,20,15,,4,12,2,2,,Rini,17/03/2020,,
B-E-350-OPE,17/01/2020,"Agung, Jaka, Suyandra ",,,D 90,190,08:56,55,60,,0,5,6,9,,Rini,17/03/2020,,
B-E-350-OPE,17/01/2020,"Agung, Jaka, Suyandra ",,,W 1,309,09:06,20,20,,3,12,5,0,W1 = Wild palm.   ,Rini,17/03/2020,,
B-E-350-OPE,17/01/2020,"Agung, Jaka, Suyandra ",,,W2,186,09:13,10,10,,2,15,3,0,W2 = Wild palm.,Rini,17/03/2020,,
B-E-350-OPE,17/01/2020,"Agung, Jaka, Suyandra ",,,X1,44,09:18,10,5,,9,11,0,0,"X1 = Outside 5 m from plot = 21,70 cm.",Rini,17/03/2020,,
B-E-350-OPE,17/01/2020,"Agung, Jaka, Suyandra ",,,X2,189,09:24,20,5,,10,10,0,0,"X2 = Outside 5 m from plot = 18,20 cm.",Rini,17/03/2020,,
B-E-350-OPC,17/01/2020,"Agung, Jaka, Suyandra ",,,92,206,08:26,25,10,,11,4,3,2,,Rini,17/03/2020,,
B-E-350-OPC,17/01/2020,"Agung, Jaka, Suyandra ",,,99,195,08:37,20,10,,2,14,3,1,,Rini,17/03/2020,,
B-E-350-OPC,17/01/2020,"Agung, Jaka, Suyandra ",,,91,204,08:47,30,20,,2,16,2,0,,Rini,17/03/2020,,
